ISBN10,avtor,naslov,cenaE,format,jezik,datum,ISBN13
0062300547,J D Vance,Hillbilly Elegy : A Memoir of a Family and Culture in Crisis,"22,80",Hardback,English,28 Jun 2016,9780062300546
0062315005,Paulo Coelho,The Alchemist,"12,20",Paperback,English,01 May 2014,9780062315007
0071771328,Kerry Patterson,Crucial Conversations Tools for Talking When Stakes are High,"12,96",Paperback,English,01 Oct 2011,9780071771320
0073523917,Stephen E. Lucas,The Art of Public Speaking,"156,74",Paperback,English,01 Nov 2014,9780073523910
0077733711,Jane P. Mallor,Business Law,"316,81",Hardback,English,01 Mar 2015,9780077733711
0124077269,David A. Patterson,Computer Organization and Design : The Hardware/Software Interface,"53,76",Paperback,English,07 Nov 2013,9780124077263
0133428532,Marshall B. Romney,Accounting Information Systems,"259,76",Hardback,English,01 Feb 2014,9780133428537
0133769399,Tony Gaddis,Starting out with C++,"196,09",Paperback,English,08 Mar 2014,9780133769395
0133918920,Russell C. Hibbeler,Engineering Mechanics : Statics,"188,31",Hardback,English,02 Feb 2015,9780133918922
0134308131,Andrew Faulkner,Adobe Photoshop CC Classroom in a Book 2015,"32,33",Mixed,English,05 Sep 2015,9780134308135
0143034758,Ron Chernow,Alexander Hamilton,"20,32",Paperback,English,19 Feb 2016,9780143034759
0143109006,Johanna Basford,Magical Jungle : An Inky Expedition and Coloring Book for Adults,"14,48",Paperback,English,23 Aug 2016,9780143109006
0143109391,William Finnegan,Barbarian Days : A Surfing Life,"14,48",Paperback,English,17 May 2016,9780143109396
0143125478,Daniel James Brown,The Boys in the Boat : Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,"14,69",Paperback,English,27 May 2014,9780143125471
0143130838,Daniel James Brown,The Boys in the Boat : Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,"10,44",Paperback,English,26 Jul 2016,9780143130833
0205968112,Duane Preble,Prebles&#039; Artforms,"181,61",Paperback,English,04 Oct 2013,9780205968114
0205998259,Jim Stone,A Short Course in Photography : Digital,"64,34",Paperback,English,11 Jul 2014,9780205998258
0262033844,Thomas H. Cormen,Introduction to Algorithms,"90,88",Hardback,English,30 Sep 2009,9780262033848
0307352153,Susan Cain,Quiet : The Power of Introverts in a World That Can&#039;t Stop Talking,"11,53",Paperback,English,29 Jan 2013,9780307352156
0307476073,Cheryl Strayed,Wild : From Lost to Found on the Pacific Crest Trail,"11,75",Paperback,English,01 Sep 2013,9780307476074
0310342996,Shauna Niequist,"Present Over Perfect : Leaving Behind Frantic for a Simpler, More Soulful Way of Living","14,40",Hardback,English,09 Aug 2016,9780310342991
0312384483,Gene Luen Yang,American Born Chinese,"10,38",Paperback,English,23 Dec 2008,9780312384487
0312510780,Roger Priddy,First 100 Words,"5,89",Board,English,05 Oct 2011,9780312510787
0316017930,Malcolm Gladwell,Outliers : The Story of Success,"15,68",Paperback,English,07 Jun 2011,9780316017930
0321775651,Jane B. Reece,Campbell Biology,"285,20",Hardback,English,10 Nov 2013,9780321775658
0321809246,Nivaldo J. Tro,Chemistry : A Molecular Approach,"252,60",Paperback,English,18 Jan 2013,9780321809247
0321832019,Wynn Kapit,The Anatomy Coloring Book,"24,02",Paperback,English,06 Apr 2013,9780321832016
0321927044,Elaine N. Marieb,Human Anatomy &amp; Physiology,"248,01",Hardback,English,03 Jan 2015,9780321927040
0323113435,Linda A. Lacharity,"Prioritization, Delegation, and Assignment : Practice Exercises for the NCLEX Examination","32,96",Paperback,English,08 Jan 2014,9780323113434
0345404475,Philip K. Dick,Do Androids Dream of Electric Sheep?,"11,33",Paperback,English,01 Sep 1996,9780345404473
0345472322,Carol S. Dweck,Mindset : The New Psychology of Success,"11,35",Paperback,English,09 Aug 2011,9780345472328
0374280096,Terry Tempest Williams,The Hour of Land : A Personal Topography of America&#039;s National Parks,"24,95",Hardback,English,12 Jul 2016,9780374280093
0374500010,Elie Wiesel,Night,"7,18",Paperback,English,01 Mar 2006,9780374500016
0374533407,Anne Fadiman,Spirit Catches You and You Fall Down,"13,00",Paperback,English,01 Sep 2012,9780374533403
0374533555,Daniel Kahneman,"Thinking, Fast and Slow","14,21",Paperback,English,04 Apr 2013,9780374533557
